IdData;IdVersion;Fecha;IdDistribuidora;IdGeneradora;IdCodigoContrato;IdPuntoRetiro;Distribuidora;Suministrador;CodigoContrato;PuntoRetiro;IdDespacho;Energía [kWh];Potencia [kW];Observación
91;18;2020-10-01;;1;;176;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;La Manga 13.2;;139931.568690183;202.498694332215;-Error nombre de Distribuidora-Error nombre de Código Contrato
92;18;2020-10-01;;1;;177;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;La Vega 023;;78206.6452550913;144.488347828072;-Error nombre de Distribuidora-Error nombre de Código Contrato
93;18;2020-10-01;;1;;178;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Las Arañas 1 13.2;;52376.8485731338;84.295537674907;-Error nombre de Distribuidora-Error nombre de Código Contrato
94;18;2020-10-01;;1;;179;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Leyda 13.2;;90578.6399967633;48.5227991394462;-Error nombre de Distribuidora-Error nombre de Código Contrato
95;18;2020-10-01;;1;;180;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Licanten 13.2;;84518.5922479154;168.080548517428;-Error nombre de Distribuidora-Error nombre de Código Contrato
96;18;2020-10-01;;1;;181;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Lihueimo 13.2;;107861.52791226;161.331877353968;-Error nombre de Distribuidora-Error nombre de Código Contrato
97;18;2020-10-01;;1;;182;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Linares Norte 13.8;;14839.3217755995;35.2309785660481;-Error nombre de Distribuidora-Error nombre de Código Contrato
98;18;2020-10-01;;1;;183;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Mandinga 13.2;;74390.0810102777;131.420943128124;-Error nombre de Distribuidora-Error nombre de Código Contrato
99;18;2020-10-01;;1;;184;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Marchigue 13.2;;90735.2874331939;122.664096932137;-Error nombre de Distribuidora-Error nombre de Código Contrato
100;18;2020-10-01;;1;;102;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Maule 015;;37526.7073928107;149.844638030998;-Error nombre de Distribuidora-Error nombre de Código Contrato
101;18;2020-10-01;;1;;185;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Melipilla 13.2;;274639.09228174;693.857249252437;-Error nombre de Distribuidora-Error nombre de Código Contrato
102;18;2020-10-01;;1;;103;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Molina 13.2;;72066.5101991699;72.7816923463215;-Error nombre de Distribuidora-Error nombre de Código Contrato
103;18;2020-10-01;;1;;186;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Nancagua 13.2;;85315.8559739386;170.324707251935;-Error nombre de Distribuidora-Error nombre de Código Contrato
104;18;2020-10-01;;1;;187;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Nirivilo 023;;54551.8978509044;76.6943175489055;-Error nombre de Distribuidora-Error nombre de Código Contrato
105;18;2020-10-01;;1;;188;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Paniahue 13.2;;269567.181437888;525.449331187656;-Error nombre de Distribuidora-Error nombre de Código Contrato
106;18;2020-10-01;;1;;189;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Parral 13.2;;114025.511281891;269.39968824899;-Error nombre de Distribuidora-Error nombre de Código Contrato
107;18;2020-10-01;;1;;190;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Parronal 13.2;;20643.3724360911;33.066252254103;-Error nombre de Distribuidora-Error nombre de Código Contrato
108;18;2020-10-01;;1;;191;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Placilla Emelectric 13.2;;48785.6575150104;91.2983154717067;-Error nombre de Distribuidora-Error nombre de Código Contrato
109;18;2020-10-01;;1;;192;CGED;Abengoa;SIC 2013/03_2 (Emelectric)_BS4_BB_CGE DISTRIBUCIÓN_Abengoa;Portezuelo 066;;4475.40472366437;25.0246834554544;-Error nombre de Distribuidora-Error nombre de Código Contrato
